price range,win rate,size of slice
"(2850.0, 3150.0)",0.659574468,47
"(2945.0, 3255.0)",0.617647059,68
"(3040.0, 3360.0)",0.633333333,90
"(3135.0, 3465.0)",0.626262626,99
"(3230.0, 3570.0)",0.6,125
"(3325.0, 3675.0)",0.579310345,145
"(3420.0, 3780.0)",0.553333333,150
"(3515.0, 3885.0)",0.523255814,172
"(3610.0, 3990.0)",0.434782609,184
"(3705.0, 4095.0)",0.408376963,191
"(3800.0, 4200.0)",0.36416185,173
"(3895.0, 4305.0)",0.313333333,150
"(3990.0, 4410.0)",0.305084746,118
"(4085.0, 4515.0)",0.221052632,95
"(4180.0, 4620.0)",0.175,80
"(4275.0, 4725.0)",0.164179104,67
"(4370.0, 4830.0)",0.19047619,63
"(4465.0, 4935.0)",0.208333333,48
"(4560.0, 5040.0)",0.162790698,43
"(4655.0, 5145.0)",0.208333333,48
"(4750.0, 5250.0)",0.209302326,43
"(4845.0, 5355.0)",0.163265306,49
"(4940.0, 5460.0)",0.215686275,51
"(5035.0, 5565.0)",0.245283019,53
"(5130.0, 5670.0)",0.22,50
"(5225.0, 5775.0)",0.265306122,49
"(5320.0, 5880.0)",0.307692308,52
"(5415.0, 5985.0)",0.403846154,52
"(5510.0, 6090.0)",0.413793103,58
"(5605.0, 6195.0)",0.476190476,63
"(5700.0, 6300.0)",0.484375,64
"(5795.0, 6405.0)",0.492307692,65
"(5890.0, 6510.0)",0.485294118,68
"(5985.0, 6615.0)",0.415384615,65
"(6080.0, 6720.0)",0.38961039,77
"(6175.0, 6825.0)",0.367088608,79
"(6270.0, 6930.0)",0.351648352,91
"(6365.0, 7035.0)",0.309278351,97
"(6460.0, 7140.0)",0.326530612,98
"(6555.0, 7245.0)",0.340206186,97
"(6650.0, 7350.0)",0.340659341,91
"(6745.0, 7455.0)",0.355263158,76
"(6840.0, 7560.0)",0.369230769,65
"(6935.0, 7665.0)",0.333333333,54
"(7030.0, 7770.0)",0.446808511,47
"(7125.0, 7875.0)",0.41025641,39
"(7220.0, 7980.0)",0.388888889,36
"(7315.0, 8085.0)",0.421052632,38
"(7410.0, 8190.0)",0.411764706,34
"(7505.0, 8295.0)",0.375,32
"(7600.0, 8400.0)",0.428571429,35
"(7695.0, 8505.0)",0.5,26